# time x y z qx qy qz qw
1785985410.329999924 2.136516445 1.329544214 1.397487475 -0.015767274 -0.028833987 0.734381643 0.677940703
1785985410.339999914 2.138180133 1.334565438 1.393899165 -0.014995660 -0.028900880 0.733166919 0.679268826
1785985410.349999905 2.144202475 1.359002409 1.390518923 -0.013694774 -0.028320540 0.732794790 0.679722147
1785985410.359999895 2.127394105 1.362463376 1.391857754 -0.012575186 -0.028072062 0.731229832 0.681437272
1785985410.369999886 2.114798172 1.368276409 1.388842962 -0.011497916 -0.028052429 0.728986964 0.683855881
1785985410.380000114 2.130722338 1.373992204 1.389299514 -0.010724325 -0.027940627 0.726926077 0.686063254
1785985410.390000105 2.137582697 1.401209219 1.388094058 -0.009776397 -0.027823816 0.724246766 0.688909921
1785985410.400000095 2.127912632 1.410994856 1.383138016 -0.008999327 -0.027604105 0.723021178 0.690215475
1785985410.410000086 2.131977716 1.408561621 1.382233540 -0.007982897 -0.027479537 0.719679854 0.693716120
1785985410.420000076 2.142421135 1.410295892 1.379843081 -0.006804154 -0.027167416 0.716859890 0.696654529
1785985410.430000067 2.150629340 1.405934634 1.377303636 -0.006066921 -0.026993443 0.714240897 0.699352906
1785985410.440000057 2.131231693 1.425479613 1.373483521 -0.005506608 -0.027111136 0.711769483 0.701868126
1785985410.450000048 2.115762817 1.416495240 1.376962507 -0.004814786 -0.026855235 0.709095940 0.704583964
1785985410.460000038 2.125870318 1.447078953 1.371554572 -0.004398336 -0.026464525 0.709644483 0.704048997
1785985410.470000029 2.117817397 1.458270476 1.373493197 -0.004116063 -0.026426110 0.707952099 0.705753884
1785985410.480000019 2.096184462 1.476417211 1.365502323 -0.003544064 -0.026164789 0.706987340 0.706733149
1785985410.490000010 2.090246569 1.481933725 1.370902399 -0.002562436 -0.026002460 0.703271360 0.710441201
1785985410.500000000 2.085307741 1.472790579 1.373859431 -0.001718851 -0.026180090 0.698688180 0.714945086
1785985410.509999990 2.082179593 1.489883220 1.375270161 -0.001042090 -0.026176402 0.695768318 0.717788380
1785985410.519999981 2.078232354 1.505903986 1.370928725 -0.000444559 -0.026444489 0.692011431 0.721401879
1785985410.529999971 2.064668577 1.512536839 1.375649172 0.000346722 -0.026399042 0.688170788 0.725068229
