timestamp,from_id,to_id,range,std
1785983400.73,9,3,5.799072265625,0.1
1785983400.74,8,0,4.722325801849365,0.1
1785983400.74,8,1,2.935422897338867,0.1
1785983400.74,8,2,3.9886019229888916,0.1
1785983400.74,8,3,5.470817565917969,0.1
1785983400.74,9,0,4.6535797119140625,0.1
1785983400.74,9,1,2.581677198410034,0.1
1785983400.74,9,2,4.17685604095459,0.1
1785983400.74,9,3,5.840072154998779,0.1
1785983400.75,8,0,4.690325736999512,0.1
1785983400.75,8,1,2.933422803878784,0.1
1785983400.75,8,2,4.000601768493652,0.1
1785983400.75,8,3,5.517817497253418,0.1
1785983400.75,9,0,4.671579837799072,0.1
1785983400.75,9,1,2.6346771717071533,0.1
1785983400.75,9,2,4.17185640335083,0.1
1785983400.75,9,3,5.813072204589844,0.1
1785983400.76,8,0,4.715325832366943,0.1
1785983400.76,8,1,2.933422803878784,0.1
1785983400.76,8,2,3.954602003097534,0.1
1785983400.76,8,3,5.499817848205566,0.1
1785983400.76,9,0,4.618579864501953,0.1
1785983400.76,9,1,2.595677137374878,0.1
1785983400.76,9,2,4.15985631942749,0.1
1785983400.76,9,3,5.836071968078613,0.1
1785983400.77,8,0,4.7013258934021,0.1
1785983400.77,8,1,2.896422863006592,0.1
1785983400.77,8,2,3.961601972579956,0.1
1785983400.77,8,3,5.456817626953125,0.1
1785983400.77,9,0,4.623579978942871,0.1
1785983400.77,9,1,2.5556771755218506,0.1
1785983400.77,9,2,4.217856407165527,0.1
1785983400.77,9,3,5.877072334289551,0.1
1785983400.78,8,0,4.658325672149658,0.1
1785983400.78,8,1,2.956422805786133,0.1
1785983400.78,8,2,4.012601852416992,0.1
1785983400.78,8,3,5.52481746673584,0.1
1785983400.78,9,0,4.628580093383789,0.1
1785983400.78,9,1,2.5536770820617676,0.1
1785983400.78,9,2,4.185856342315674,0.1
1785983400.78,9,3,5.874072074890137,0.1
1785983400.79,8,0,4.738326072692871,0.1
1785983400.79,8,1,2.938422918319702,0.1
1785983400.79,8,2,3.9846019744873047,0.1
1785983400.79,8,3,5.4248175621032715,0.1
1785983400.79,9,0,4.600579738616943,0.1
1785983400.79,9,1,2.5746772289276123,0.1
1785983400.79,9,2,4.213856220245361,0.1
1785983400.79,9,3,5.836071968078613,0.1
1785983400.8,8,0,4.741325855255127,0.1
1785983400.8,8,1,2.894422769546509,0.1
1785983400.8,8,2,3.9986019134521484,0.1
1785983400.8,8,3,5.510817527770996,0.1
1785983400.8,9,0,4.6675801277160645,0.1
1785983400.8,9,1,2.5696771144866943,0.1
1785983400.8,9,2,4.2068562507629395,0.1
1785983400.8,9,3,5.890072345733643,0.1
1785983400.81,8,0,4.688325881958008,0.1
1785983400.81,8,1,2.9174227714538574,0.1
1785983400.81,8,2,4.007601737976074,0.1
1785983400.81,8,3,5.41781759262085,0.1
1785983400.81,9,0,4.623579978942871,0.1
1785983400.81,9,1,2.530677080154419,0.1
1785983400.81,9,2,4.215856075286865,0.1
1785983400.81,9,3,5.829071998596191,0.1
1785983400.82,8,0,4.676325798034668,0.1
1785983400.82,8,1,2.9154229164123535,0.1
1785983400.82,8,2,4.02860164642334,0.1
1785983400.82,8,3,5.481817722320557,0.1
1785983400.82,9,0,4.660579681396484,0.1
1785983400.82,9,1,2.528677225112915,0.1
1785983400.82,9,2,4.226856231689453,0.1
1785983400.82,9,3,5.8260722160339355,0.1
1785983400.83,8,0,4.658325672149658,0.1
1785983400.83,8,1,2.949422836303711,0.1
1785983400.83,8,2,3.9936017990112305,0.1
1785983400.83,8,3,5.470817565917969,0.1
1785983400.83,9,0,4.683579921722412,0.1
1785983400.83,9,1,2.5146772861480713,0.1
1785983400.83,9,2,4.240856170654297,0.1
1785983400.83,9,3,5.8310723304748535,0.1
1785983400.84,8,0,4.634325981140137,0.1
1785983400.84,8,1,2.9244229793548584,0.1
1785983400.84,8,2,3.9866018295288086,0.1
1785983400.84,8,3,5.4958176612854,0.1
1785983400.84,9,0,4.6675801277160645,0.1
1785983400.84,9,1,2.535677194595337,0.1
1785983400.84,9,2,4.256856441497803,0.1
1785983400.84,9,3,5.845072269439697,0.1
1785983400.85,8,0,4.658325672149658,0.1
1785983400.85,8,1,2.9034228324890137,0.1
1785983400.85,8,2,3.9866018295288086,0.1
1785983400.85,8,3,5.497817516326904,0.1
1785983400.85,9,0,4.618579864501953,0.1
1785983400.85,9,1,2.5696771144866943,0.1
